Model,RMSE,MAE,MAPE_%,R2,SkillScore,JB_p,SW_p,LB1_p,LB12_p,ADF_p_resid,Resid_norm,Resid_AC1,Resid_AC12
OLS-HC3,0.073339,0.057594,10.914,0.2961,0.161,0.8705,0.8147,0.038,0.0055,0.0,Normal,AC present,Seasonal AC
SARIMAX+ONI,0.078414,0.064627,12.1406,0.1953,0.1029,0.7184,0.178,0.9845,0.3069,0.0,Normal,No AC,No SAC
XGBoost,0.073275,0.059209,10.9848,0.2973,0.1617,0.7939,0.053,0.0089,0.0282,0.0,Normal,AC present,Seasonal AC
Climatology_baseline,0.079942,0.064027,12.2041,0.1636,0.0855,0.626,0.3032,0.6991,0.5553,0.0,Normal,No AC,No SAC
