Feature,OLS_beta,OLS_HC3_SE,OLS_t,OLS_p,OLS_std_effect,mean_SHAP,mean_abs_SHAP,SHAP_CV,sign_concordance,nonlinearity
sin_month,-0.034798,0.008267,-4.209,0.0,-0.024663,4.8e-05,0.005673,153.675,False,High
cos_month,-0.014364,0.006958,-2.064,0.039,-0.01018,0.000299,0.004536,20.105,False,High
GHI_anom,0.088488,0.030446,2.906,0.0037,0.032405,0.000304,0.008557,37.665,True,High
CLOUD_anom,-0.000152,0.001145,-0.133,0.8943,-0.001675,0.000199,0.016102,91.888,False,High
PRECTOT_anom,-0.002034,0.001934,-1.052,0.2929,-0.005676,-0.000106,0.003363,44.569,True,High
ONI,0.005581,0.019967,0.28,0.7799,0.003802,3.8e-05,0.002363,79.399,True,High
ONI_lag2,-0.01615,0.019747,-0.818,0.4134,-0.010733,0.000196,0.003479,22.202,False,High
GHI_lag1,0.035184,0.01155,3.046,0.0023,0.021425,-0.000986,0.006616,8.14,False,High
