fold,test_year,n_train,RMSE,MAE,SkillScore,PICP_95,PIAW,Winkler,converged
1,2015,108,0.073484,0.062168,-0.2412,1.0,0.315085,0.315085,True
2,2016,120,0.109675,0.100181,0.0664,0.9167,0.310874,0.403206,True
3,2017,132,0.06985,0.059778,-0.0208,1.0,0.324054,0.324054,True
4,2018,144,0.075115,0.057339,0.0287,0.9167,0.319163,0.320861,True
5,2019,156,0.087268,0.07176,-0.0472,0.9167,0.319143,0.506507,True
6,2020,168,0.048921,0.039782,0.0476,1.0,0.3188,0.3188,True
7,2021,180,0.093889,0.09039,0.059,1.0,0.309047,0.309047,True
8,2022,192,0.071268,0.058157,0.1656,0.9167,0.307829,0.341102,True
9,2023,204,0.059043,0.042092,-0.1332,0.9167,0.310538,0.348389,True
