sin_month,cos_month,GHI_lag1,GHI_lag12,GHI_anom,CLOUD_anom,PRECTOT_anom,ONI,ONI_lag2,GHI_x_CLOUD,ONI_x_CLOUD_anom,T2M_x_RH
-0.005875494,0.00060573383,-0.015984606,-0.0048233774,-0.017645976,-0.023528004,-0.0013421302,0.00021967573,-0.0032539957,-0.00679771,0.005267194,-0.027091876
-0.0040175896,0.0013631308,0.002943944,-0.004707158,0.02372682,0.02198985,0.0023328033,0.0007709496,0.0018798527,-0.008690614,0.0024799814,-0.013874924
0.0067160726,0.005619355,0.0019371748,-0.0057717673,-0.016552206,-0.014640817,0.00047594172,0.00078995206,-0.004250207,0.00018445027,0.007976132,-0.026186695
-0.0046248795,-0.0012764642,-0.0004578756,-0.0069127944,0.0086812945,-0.0058176043,-0.006152172,-0.0005842436,-0.0013660849,0.00199907,0.009094941,-0.026016762
-0.0013223472,-0.00025276924,-0.0058844895,-0.0071741343,0.0002642484,-0.0076746433,-0.00024167779,-0.0015401981,-0.0014922726,0.002630675,0.0100123165,-0.0056668133
-0.009065136,-0.009749754,-0.008784344,-0.004865551,-0.004117372,0.020391177,-0.004947451,-0.0023246822,-0.0013958708,0.002632686,-3.230884e-05,0.00888112
0.003093793,-0.011760826,-0.016506124,-0.008928272,-0.002011801,0.02477116,0.0012219955,-0.0021823281,-0.0037203473,-0.00042074037,0.00034132757,0.023399243
0.0053448826,-0.006863139,0.0006614459,-0.004550153,-0.0008597515,0.030121446,-2.6753207e-05,0.0006461295,-0.001896183,0.00027013972,0.0014146214,0.03689296
0.014958638,0.010271595,0.012692845,0.016088622,0.01113972,0.014463027,-0.007590521,0.0011575773,-0.0045576417,-0.0027005463,-0.0022425172,0.042725325
0.006069034,0.006147733,0.004107155,0.0033677926,0.012243037,0.02208334,-0.0065674973,-0.0006983923,-0.0066285166,0.003603988,-0.00242038,0.041403018
0.0065753763,0.007994926,0.009496782,0.003405642,0.0145250745,0.024529632,0.017356686,0.00028857647,-0.0048191776,0.004790111,0.003186451,0.047738913
-0.010921824,-0.001163062,-0.00052855053,-0.009928176,-0.005037232,0.008756971,-0.005260646,0.00021438308,-0.0034463997,-0.0028771427,0.0013930073,-0.011452692
-0.0015944805,0.004825912,0.010905374,-0.0067243837,0.017487291,0.026335638,0.016627086,0.003085364,-0.0007628674,-0.0053657913,0.0037297737,0.01902389
-0.007902125,0.0024242045,0.0026594885,-0.0026005693,0.0060857697,0.031188032,0.0023368923,0.003243223,-0.00033271086,0.0030319185,0.006466941,-0.034627773
0.005735403,0.0052399663,-0.0039388156,-0.0017232761,-0.008738227,-0.0044809906,-0.00096140127,0.0061298492,-0.002577068,0.007728966,0.0006160926,-0.021297416
-0.0042546242,-0.0019017032,-0.0045741946,-0.006731525,-0.0038656946,-0.00631068,-0.00024303207,0.0034502659,-0.007097302,0.005640038,-0.0014670048,-0.024250222
