fold,test_year,n_train,n_test,RMSE,MAE,SkillScore,ClimRMSE,R2_train
1,2015,108,12,0.06624,0.051285,-0.1188,0.059205,0.5048
2,2016,120,12,0.09471,0.079892,0.1938,0.117473,0.4956
3,2017,132,12,0.0678,0.05644,0.0092,0.068429,0.4877
4,2018,144,12,0.075603,0.062974,0.0224,0.077337,0.4753
5,2019,156,12,0.086442,0.070805,-0.0373,0.083333,0.4664
6,2020,168,12,0.054939,0.038921,-0.0695,0.051368,0.4605
7,2021,180,12,0.104553,0.094662,-0.0479,0.099777,0.4588
8,2022,192,12,0.042167,0.035944,0.5063,0.085411,0.4257
9,2023,204,12,0.039211,0.027421,0.2474,0.052103,0.4471
