Variable,Mean,Std,Min,Max
Y_stoch,0.57083,0.09189,0.3075,0.83989
PR_stoch,0.6116,0.05413,0.46964,0.74245
L_thermal,0.00645,0.00578,0.001,0.02767
L_cloud_resid,0.07466,0.02827,0.005,0.14814
L_aerosol,0.03951,0.03819,0.005,0.15
L_humidity,0.01422,0.00788,0.001,0.03542
L_inverter,0.12179,0.06784,0.04,0.28
