Model,RMSE,MAE,MAPE_%,R2,SkillScore,JB_p,SW_p,LB1_p,LB12_p,ADF_p_resid,Resid_norm,Resid_AC1,Resid_AC12
OLS-HC3,0.068459,0.054491,11.4059,0.2235,0.1188,0.3313,0.1869,0.6229,0.1019,0.0,Normal,No AC,No SAC
SARIMAX+ONI,0.075456,0.060573,12.5971,0.0567,0.0288,0.4416,0.9694,0.4872,0.6504,0.0,Normal,No AC,No SAC
XGBoost,0.071514,0.057807,11.8917,0.1527,0.0795,0.6776,0.2387,0.6229,0.8145,0.0,Normal,No AC,No SAC
Climatology_baseline,0.076948,0.059879,12.5382,0.019,0.0096,0.7887,0.6847,0.4143,0.4576,0.0,Normal,No AC,No SAC
