Feature,OLS_beta,OLS_HC3_SE,OLS_t,OLS_p,OLS_std_effect,mean_SHAP,mean_abs_SHAP,SHAP_CV,sign_concordance,nonlinearity
sin_month,0.003279,0.006597,0.497,0.6192,0.002324,-2.6e-05,0.009552,440.519,False,High
cos_month,-0.000105,0.005981,-0.018,0.9859,-7.4e-05,0.000372,0.006334,20.36,False,High
GHI_anom,0.091232,0.024128,3.781,0.0002,0.033516,0.000191,0.025491,158.718,True,High
CLOUD_anom,-0.000667,0.000896,-0.744,0.4569,-0.005492,-0.000488,0.01216,30.11,True,High
PRECTOT_anom,0.002022,0.002128,0.95,0.342,0.005804,0.000369,0.00676,21.367,True,High
ONI,0.016974,0.020378,0.833,0.4049,0.011565,0.000681,0.005213,9.601,True,High
ONI_lag2,-0.026388,0.022075,-1.195,0.2319,-0.017537,-0.000327,0.007597,25.936,True,High
GHI_lag1,0.041703,0.012741,3.273,0.0011,0.018223,-0.000737,0.011615,18.695,False,High
