fold,test_year,n_train,RMSE_train,RMSE_test,overfit_ratio,MAE,SkillScore,ClimRMSE,PICP_90
1,2015,108,0.01991,0.081401,4.088,0.072458,-0.6181,0.050307,0.5833
2,2016,120,0.020399,0.083933,4.115,0.075914,0.1308,0.096568,0.3333
3,2017,132,0.022138,0.079636,3.597,0.064859,-0.079,0.073805,0.4167
4,2018,144,0.021786,0.061306,2.814,0.048521,0.2158,0.078176,0.5833
5,2019,156,0.021203,0.082568,3.894,0.062521,0.0712,0.088901,0.6667
6,2020,168,0.021278,0.068249,3.207,0.057498,0.1403,0.079383,0.5833
7,2021,180,0.022673,0.075525,3.331,0.063364,0.1709,0.091093,0.4167
8,2022,192,0.022417,0.046811,2.088,0.038327,0.2362,0.061289,0.6667
9,2023,204,0.022289,0.053722,2.41,0.036798,0.1064,0.06012,0.8333
