Variable,Mean,Std,Min,Max
Y_stoch,0.51614,0.07898,0.34768,0.75907
PR_stoch,0.6088,0.05074,0.47025,0.71818
L_thermal,0.00311,0.00185,0.001,0.01051
L_cloud_resid,0.0849,0.02204,0.02882,0.14987
L_aerosol,0.02794,0.02259,0.005,0.15
L_humidity,0.02313,0.00589,0.00928,0.04052
L_inverter,0.12179,0.06784,0.04,0.28
