fold,test_year,n_train,RMSE,MAE,SkillScore,PICP_95,PIAW,Winkler,converged
1,2015,108,0.064763,0.060182,-0.2874,1.0,0.280617,0.280617,True
2,2016,120,0.084956,0.072081,0.1202,0.9167,0.273798,0.321639,True
3,2017,132,0.068727,0.052616,0.0688,0.9167,0.279371,0.327805,True
4,2018,144,0.077039,0.057702,0.0145,0.9167,0.269211,0.450805,True
5,2019,156,0.089205,0.065733,-0.0034,0.8333,0.278473,0.531421,True
6,2020,168,0.082446,0.065324,-0.0386,0.9167,0.285131,0.390273,True
7,2021,180,0.08267,0.0645,0.0925,0.8333,0.277875,0.385727,True
8,2022,192,0.051077,0.045032,0.1666,1.0,0.284302,0.284302,True
9,2023,204,0.070525,0.061986,-0.1731,1.0,0.301299,0.301299,True
