Feature,Coef,HC3_SE,t_stat,p_value,CI_lower,CI_upper
const,0.32057,0.060264,5.319407,0.0,0.202454,0.438686
sin_month,0.003279,0.006597,0.496973,0.619208,-0.009652,0.01621
cos_month,-0.000105,0.005981,-0.017615,0.985946,-0.011829,0.011618
GHI_anom,0.091232,0.024128,3.781209,0.000156,0.043943,0.138522
CLOUD_anom,-0.000667,0.000896,-0.743965,0.456898,-0.002424,0.00109
PRECTOT_anom,0.002022,0.002128,0.95023,0.341996,-0.002148,0.006192
ONI,0.016974,0.020378,0.832951,0.404872,-0.022966,0.056914
ONI_lag2,-0.026388,0.022075,-1.195378,0.23194,-0.069655,0.016879
GHI_lag1,0.041703,0.012741,3.273193,0.001063,0.016731,0.066674
