Feature,OLS_beta,OLS_HC3_SE,OLS_t,OLS_p,OLS_std_effect,mean_SHAP,mean_abs_SHAP,SHAP_CV,sign_concordance,nonlinearity
sin_month,0.010367,0.006669,1.554,0.1201,0.007348,-0.000183,0.006502,42.428,False,High
cos_month,-0.024322,0.006638,-3.664,0.0002,-0.017238,-0.000379,0.011938,36.646,True,High
GHI_anom,0.104334,0.014621,7.136,0.0,0.031196,-0.000141,0.020223,186.209,False,High
CLOUD_anom,-0.000262,0.00097,-0.27,0.7874,-0.00152,-0.000517,0.00627,15.743,True,High
PRECTOT_anom,0.000127,0.001766,0.072,0.9427,0.000412,0.000213,0.008709,50.377,True,High
ONI,0.013909,0.019201,0.724,0.4688,0.009476,0.000415,0.00377,11.39,True,High
ONI_lag2,-0.016248,0.019352,-0.84,0.4011,-0.010798,-0.000334,0.006143,24.478,True,High
GHI_lag1,0.013902,0.013109,1.06,0.2889,0.005349,-3.2e-05,0.005052,234.735,False,High
