fold,test_year,n_train,RMSE_train,RMSE_test,overfit_ratio,MAE,SkillScore,ClimRMSE,PICP_90
1,2015,108,0.018824,0.077277,4.105,0.064469,0.1814,0.094403,0.5833
2,2016,120,0.018008,0.100323,5.571,0.087948,-0.2245,0.081929,0.25
3,2017,132,0.018769,0.078398,4.177,0.068256,-0.0097,0.077646,0.3333
4,2018,144,0.020223,0.084927,4.2,0.064443,-0.3864,0.061257,0.6667
5,2019,156,0.019438,0.087539,4.503,0.070277,-0.113,0.078649,0.4167
6,2020,168,0.020155,0.045891,2.277,0.037816,0.1776,0.0558,0.75
7,2021,180,0.019566,0.080148,4.096,0.067263,0.0757,0.086715,0.3333
8,2022,192,0.019793,0.061767,3.121,0.055112,-0.3805,0.044741,0.5
9,2023,204,0.019838,0.052891,2.666,0.037725,-0.019,0.051904,0.6667
