Variable,Mean,Std,Min,Max
Y_stoch,0.55748,0.07728,0.36248,0.74992
PR_stoch,0.61013,0.05026,0.47059,0.72481
L_thermal,0.00523,0.00227,0.001,0.01412
L_cloud_resid,0.08513,0.02192,0.02751,0.14979
L_aerosol,0.0248,0.01652,0.005,0.09222
L_humidity,0.02189,0.00581,0.00754,0.03921
L_inverter,0.12179,0.06784,0.04,0.28
