fold,test_year,n_train,n_test,RMSE,MAE,SkillScore,ClimRMSE,R2_train
1,2015,108,12,0.077454,0.064915,0.1795,0.094403,0.5013
2,2016,120,12,0.102994,0.091091,-0.2571,0.081929,0.4872
3,2017,132,12,0.064068,0.052751,0.1749,0.077646,0.4427
4,2018,144,12,0.075954,0.056082,-0.2399,0.061257,0.4342
5,2019,156,12,0.078158,0.064622,0.0062,0.078649,0.4097
6,2020,168,12,0.050919,0.039955,0.0875,0.0558,0.3866
7,2021,180,12,0.102332,0.08382,-0.1801,0.086715,0.3892
8,2022,192,12,0.045466,0.038736,-0.0162,0.044741,0.3357
9,2023,204,12,0.04579,0.033189,0.1178,0.051904,0.3365
