Model,RMSE,MAE,MAPE_%,R2,SkillScore,JB_p,SW_p,LB1_p,LB12_p,ADF_p_resid,Resid_norm,Resid_AC1,Resid_AC12
OLS-HC3,0.074399,0.058351,11.1783,-0.0542,-0.0267,0.9425,0.7388,0.0965,0.2097,0.0,Normal,No AC,No SAC
SARIMAX+ONI,0.073173,0.057521,11.0219,-0.0197,-0.0098,0.6465,0.9345,0.9479,0.5008,0.0,Normal,No AC,No SAC
XGBoost,0.076158,0.061479,11.7032,-0.1046,-0.051,0.6019,0.3409,0.7471,0.5391,0.0,Normal,No AC,No SAC
Climatology_baseline,0.072203,0.058889,11.1854,0.0071,0.0036,0.9701,0.7242,0.5981,0.4015,0.0,Normal,No AC,No SAC
