sin_month,cos_month,GHI_lag1,GHI_lag12,GHI_anom,CLOUD_anom,PRECTOT_anom,ONI,ONI_lag2,GHI_x_CLOUD,ONI_x_CLOUD_anom,T2M_x_RH
-0.00052044325,-0.018855294,-0.019015048,0.0049160793,0.00065242365,-0.0018219769,0.0013393812,0.00097411213,-0.0007431335,0.006030397,0.00618486,-0.0041984003
0.003722503,-0.00062078063,0.0031506415,0.012301839,0.020713082,0.005623706,0.012374101,0.0052529494,-0.0011560068,0.011383417,0.012913229,0.0054786494
0.003281902,0.014374949,-0.0013953182,0.012555112,0.016611313,0.0022485638,0.0057227416,0.0023270515,-0.0021806452,0.001548193,0.00054097874,-0.003738745
0.0058833924,0.0076353163,0.005841616,-0.0087136775,-0.027168607,-0.0070872013,-0.0035358274,0.0012641274,0.0002651918,0.00039538607,0.016655868,0.009287198
-0.0015895896,0.010905284,-0.0020382782,0.0017752034,-0.027034238,-0.008964118,-0.0045214947,-6.935509e-05,0.00017755649,-0.004986592,0.012448802,0.0023998176
-0.0071144286,0.0062191794,0.0022360384,-7.174327e-05,-0.03273854,0.005635944,0.006009125,0.0006750491,-0.0021426461,-0.0026791329,-0.009163983,0.004091686
-0.007171963,0.012787493,0.0012440204,-0.010275568,0.027269758,0.015454414,-0.013263243,0.0012794246,-0.0030450306,-0.009992539,0.0008470217,-0.003625626
-0.004445694,0.009394219,0.0028837908,0.013512833,0.006474964,0.0198424,-0.012101237,0.0016911183,0.0023617235,-0.0031514205,0.0006164574,-0.00791017
0.0051298738,0.010852515,0.0015129345,-0.013315782,-0.08118772,0.0015562936,0.0068617053,0.0005300817,-0.002138638,-0.00494455,0.0047896015,-0.0072094654
-0.007412268,-0.014338568,-0.006673293,-0.017476464,-0.07613341,0.013194493,-0.020700194,-0.00068444904,-0.009046097,-0.007912157,-0.01056863,-0.006146475
-0.006559435,-0.015188183,-0.019207215,-0.0017986037,-0.066014804,0.016911231,0.0013558989,-8.731366e-05,-0.006572291,-0.0036048484,0.0030527848,-0.00031123875
-0.013500244,-0.028373364,-0.02344652,-0.014763294,0.0029342158,-0.0030443082,0.0071151517,-0.0037270135,-0.011070081,-0.0014797299,-0.00782059,0.0014906089
0.00075829006,-0.01719746,0.0010074828,-0.0021887748,-0.026295168,0.0062912186,-0.002836544,0.002602879,-0.008288126,-0.0011125455,-0.0047639636,0.0077531044
0.0032367306,-0.004857024,0.0039975867,0.022537863,0.018061897,0.0171114,0.00065870443,0.0039525805,-0.0038997363,0.0040293196,0.009197857,-0.0031372907
0.008691639,0.018896332,0.0031383112,0.013909498,0.02103946,0.0019651116,0.016353838,0.010490645,0.006086795,0.0031038509,-0.005907897,0.00434241
