fold,test_year,n_train,n_test,RMSE,MAE,SkillScore,ClimRMSE,R2_train
1,2015,108,12,0.081783,0.068019,-0.5047,0.054353,0.3191
2,2016,120,12,0.098302,0.086495,-0.1096,0.088595,0.287
3,2017,132,12,0.05438,0.048612,0.2165,0.06941,0.2859
4,2018,144,12,0.066266,0.054893,0.0875,0.072622,0.2987
5,2019,156,12,0.074515,0.057056,0.1546,0.088144,0.2973
6,2020,168,12,0.056766,0.044927,0.0709,0.061095,0.2867
7,2021,180,12,0.086465,0.076142,-0.0357,0.083483,0.3082
8,2022,192,12,0.043573,0.034135,0.3028,0.062496,0.292
9,2023,204,12,0.041756,0.035542,0.2076,0.052698,0.3098
