Feature,OLS_beta,OLS_HC3_SE,OLS_t,OLS_p,OLS_std_effect,mean_SHAP,mean_abs_SHAP,SHAP_CV,sign_concordance,nonlinearity
sin_month,0.009735,0.006912,1.408,0.159,0.0069,-0.000151,0.006178,45.876,False,High
cos_month,-0.000163,0.00616,-0.026,0.9789,-0.000116,-0.000133,0.001617,15.519,True,High
GHI_anom,0.08743,0.027809,3.144,0.0017,0.027714,-0.000189,0.013203,84.289,False,High
CLOUD_anom,-0.000789,0.001028,-0.767,0.4429,-0.006584,-0.000169,0.004308,28.539,True,High
PRECTOT_anom,0.00151,0.001918,0.787,0.4311,0.004775,8.1e-05,0.001932,30.778,True,High
ONI,0.01383,0.020298,0.681,0.4957,0.009422,0.000228,0.001308,6.83,True,High
ONI_lag2,-0.025638,0.021618,-1.186,0.2356,-0.017038,-4.3e-05,0.001737,54.69,True,High
GHI_lag1,0.050269,0.013879,3.622,0.0003,0.019752,-0.000292,0.007464,30.418,False,High
