fold,test_year,n_train,RMSE,MAE,SkillScore,PICP_95,PIAW,Winkler,converged
1,2015,108,0.075299,0.066667,-0.3854,1.0,0.306489,0.306489,True
2,2016,120,0.082121,0.067548,0.0731,0.9167,0.300311,0.31691,True
3,2017,132,0.064735,0.049618,0.0674,0.9167,0.301374,0.322177,True
4,2018,144,0.074443,0.063583,-0.0251,0.9167,0.298072,0.309201,True
5,2019,156,0.095562,0.071658,-0.0842,0.75,0.297559,0.508162,True
6,2020,168,0.077909,0.059848,-0.2752,0.9167,0.30429,0.342421,True
7,2021,180,0.07738,0.065712,0.0731,0.9167,0.303911,0.319049,True
8,2022,192,0.05526,0.04785,0.1158,1.0,0.303165,0.303165,True
9,2023,204,0.068916,0.061446,-0.3078,1.0,0.298656,0.298656,True
