Feature,VIF
GHI_x_CLOUD,2926.99
T2M_x_RH,2069.868
GHI_lag1,227.49
GHI_lag12,218.548
CLOUD_anom,35.428
GHI_anom,16.232
ONI_lag2,10.866
ONI,10.151
cos_month,7.623
sin_month,4.432
PRECTOT_anom,1.599
ONI_x_CLOUD_anom,1.568
