Variable,Mean,Std,Min,Max
Y_stoch,0.5339,0.07853,0.3621,0.77342
PR_stoch,0.60934,0.05126,0.47237,0.72077
L_thermal,0.00766,0.00256,0.001,0.01696
L_cloud_resid,0.0846,0.0219,0.03221,0.14925
L_aerosol,0.02858,0.02456,0.005,0.15
L_humidity,0.01748,0.00589,0.00359,0.03456
L_inverter,0.12179,0.06784,0.04,0.28
