fold,test_year,n_train,RMSE_train,RMSE_test,overfit_ratio,MAE,SkillScore,ClimRMSE,PICP_90
1,2015,108,0.053082,0.051584,0.972,0.047582,0.0509,0.054353,1.0
2,2016,120,0.052093,0.080879,1.553,0.068606,0.0871,0.088595,0.6667
3,2017,132,0.053203,0.059918,1.126,0.050017,0.1368,0.06941,0.9167
4,2018,144,0.052802,0.067145,1.272,0.056965,0.0754,0.072622,0.8333
5,2019,156,0.052591,0.088454,1.682,0.06571,-0.0035,0.088144,0.6667
6,2020,168,0.053676,0.062888,1.172,0.046161,-0.0293,0.061095,0.8333
7,2021,180,0.052978,0.075753,1.43,0.064288,0.0926,0.083483,0.6667
8,2022,192,0.053271,0.050367,0.945,0.042538,0.1941,0.062496,1.0
9,2023,204,0.052396,0.048658,0.929,0.040361,0.0767,0.052698,0.9167
