Model,RMSE,MAE,MAPE_%,R2,SkillScore,JB_p,SW_p,LB1_p,LB12_p,ADF_p_resid,Resid_norm,Resid_AC1,Resid_AC12
OLS-HC3,0.069597,0.056202,11.3351,0.0455,0.023,0.5999,0.28,0.8737,0.1923,0.0,Normal,No AC,No SAC
SARIMAX+ONI,0.07538,0.061548,12.4539,-0.1198,-0.0582,0.5353,0.3171,0.4644,0.2274,0.0,Normal,No AC,No SAC
XGBoost,0.066435,0.053581,10.8324,0.1302,0.0674,0.9432,0.4389,0.1882,0.1247,0.0,Normal,No AC,No SAC
Climatology_baseline,0.07153,0.055892,11.3876,-0.0083,-0.0041,0.6953,0.8295,0.9683,0.589,0.0,Normal,No AC,No SAC
