sin_month,cos_month,GHI_lag1,GHI_lag12,GHI_anom,CLOUD_anom,PRECTOT_anom,ONI,ONI_lag2,GHI_x_CLOUD,ONI_x_CLOUD_anom,T2M_x_RH
-0.0052728965,0.004276693,-0.017468477,-0.019057525,-0.04166937,-0.035993677,0.008321947,0.007835159,-0.008845452,-0.009995065,0.0026309974,-0.028186668
-0.0046298383,0.010967811,-0.016191227,0.029318694,0.020548962,0.04482509,0.0022477359,0.0035789157,-0.0085623935,0.0037816814,-0.0047980915,-0.0027920443
-0.003966039,0.007223198,0.0147843,-0.02334482,-0.042560454,-0.028057022,-0.01620818,0.008786055,-0.003867915,-0.017973993,0.0047460487,-0.02746736
-0.0051484904,0.0026411745,-0.02302414,-0.027234174,-0.040045574,-0.024578543,0.008995813,0.0070188725,-0.0055111805,0.007559993,0.0052490216,0.0022056126
-0.007209611,-0.0056287684,-0.022339515,-0.027034843,0.0023110656,0.013942573,-0.010069749,0.008567012,-0.00693193,-0.0008335217,0.0020187674,-0.0016189581
-0.005719,-0.033999827,-0.02454668,-0.026025819,-0.022992574,-0.03345578,0.0021585138,0.005100047,-0.006311949,0.0025253906,0.0010419156,0.017056674
0.0038244338,-0.0046674977,-0.025345085,-0.0330017,-0.002991766,-0.0049338364,0.0007167926,0.0012030005,-0.004003947,-0.0108289085,-0.0024455308,0.006955568
0.009143211,0.002993298,-0.026344877,-0.009553001,0.0027968683,0.026643664,0.002700144,0.0025646845,-0.0017140084,0.012554313,-0.0022234668,0.010140612
0.013685027,0.011491602,0.019761706,0.018205198,0.016178576,0.0395521,-0.007697918,-0.0015816605,-0.0035649939,0.017998112,-0.0043784953,0.011335306
0.00539802,0.0112849735,0.024918469,0.020066535,0.015980834,0.04116414,-0.00059261953,-0.0037375544,-0.0036228285,0.01576614,-0.0054928306,0.009896101
0.009130192,0.014254074,0.0318533,0.027934361,0.025941558,0.0423052,0.001966734,-0.0040213168,-0.0030651754,0.016555723,0.00480578,0.010939832
-0.01033438,0.00457866,0.022294233,-0.019242033,0.036933985,0.04175658,0.0039925426,-0.0033760187,-0.009154546,0.010435053,-0.007304381,-0.011555879
-0.0042610713,0.008103155,0.0180432,0.013119715,0.027280746,0.0075057354,0.0009840366,0.0018921216,-0.006398719,-0.01382457,-0.009977663,-0.017482009
