Feature,VIF
T2M_x_RH,538.159
GHI_x_CLOUD,284.492
GHI_lag12,122.841
GHI_lag1,110.922
CLOUD_anom,16.607
cos_month,11.384
ONI_lag2,9.289
ONI,8.988
GHI_anom,7.711
sin_month,5.485
PRECTOT_anom,1.747
ONI_x_CLOUD_anom,1.361
