fold,test_year,n_train,RMSE_train,RMSE_test,overfit_ratio,MAE,SkillScore,ClimRMSE,PICP_90
1,2015,108,0.040048,0.063661,1.59,0.05226,0.0218,0.065079,0.75
2,2016,120,0.040385,0.107846,2.67,0.091454,0.1733,0.130455,0.5
3,2017,132,0.040794,0.076469,1.875,0.063659,0.1717,0.09232,0.8333
4,2018,144,0.042276,0.07641,1.807,0.067391,0.2766,0.10563,0.5
5,2019,156,0.042899,0.080862,1.885,0.063055,-0.0732,0.075347,0.6667
6,2020,168,0.042728,0.080927,1.894,0.068516,-0.3149,0.061548,0.8333
7,2021,180,0.04263,0.125875,2.953,0.1068,-0.1257,0.111815,0.3333
8,2022,192,0.046284,0.0521,1.126,0.040257,0.4092,0.088185,0.9167
9,2023,204,0.045713,0.055628,1.217,0.03673,0.181,0.067919,0.9167
