Feature,Coef,HC3_SE,t_stat,p_value,CI_lower,CI_upper
const,0.408594,0.066575,6.137365,0.0,0.27811,0.539078
sin_month,-0.040874,0.007994,-5.112829,0.0,-0.056543,-0.025206
cos_month,0.010059,0.010485,0.959311,0.337402,-0.010492,0.03061
GHI_anom,0.074965,0.031858,2.353099,0.018618,0.012524,0.137405
CLOUD_anom,-0.001626,0.00081,-2.007932,0.04465,-0.003213,-3.9e-05
PRECTOT_anom,-0.002798,0.003392,-0.824893,0.409432,-0.009445,0.00385
ONI,0.011495,0.022053,0.521255,0.602189,-0.031727,0.054717
ONI_lag2,-0.027914,0.023519,-1.186896,0.235269,-0.07401,0.018182
GHI_lag1,0.041696,0.011277,3.697332,0.000218,0.019593,0.063799
