fold,test_year,n_train,n_test,RMSE,MAE,SkillScore,ClimRMSE,R2_train
1,2015,108,12,0.071292,0.058784,-0.0955,0.065079,0.6076
2,2016,120,12,0.140761,0.121788,-0.079,0.130455,0.6075
3,2017,132,12,0.079253,0.061387,0.1415,0.09232,0.5714
4,2018,144,12,0.081741,0.067695,0.2262,0.10563,0.5565
5,2019,156,12,0.076307,0.061428,-0.0127,0.075347,0.5409
6,2020,168,12,0.072095,0.056127,-0.1714,0.061548,0.5402
7,2021,180,12,0.110651,0.098572,0.0104,0.111815,0.5416
8,2022,192,12,0.055768,0.044421,0.3676,0.088185,0.5086
9,2023,204,12,0.044623,0.029807,0.343,0.067919,0.5133
