fold,test_year,n_train,RMSE,MAE,SkillScore,PICP_95,PIAW,Winkler,converged
1,2015,108,0.081406,0.067502,-0.2509,1.0,0.370268,0.370268,True
2,2016,120,0.116182,0.094979,0.1094,0.9167,0.372644,0.553999,True
3,2017,132,0.083514,0.074352,0.0954,1.0,0.389582,0.389582,True
4,2018,144,0.101151,0.078282,0.0424,0.9167,0.381363,0.384164,True
5,2019,156,0.078678,0.059465,-0.0442,0.9167,0.381738,0.423993,True
6,2020,168,0.06613,0.054897,-0.0744,1.0,0.374896,0.374896,True
7,2021,180,0.102907,0.092908,0.0797,1.0,0.36779,0.36779,True
8,2022,192,0.075917,0.065487,0.1391,1.0,0.363069,0.363069,True
9,2023,204,0.083846,0.060662,-0.2345,0.9167,0.366167,0.470826,True
