Feature,Importance_gain
GHI_lag12,0.0432
GHI_anom,0.0272
cos_month,0.026
GHI_lag1,0.0253
CLOUD_anom,0.0238
T2M_x_RH,0.0203
GHI_x_CLOUD,0.0179
ONI_x_CLOUD_anom,0.01
PRECTOT_anom,0.0096
sin_month,0.0092
ONI,0.0081
ONI_lag2,0.0081
