Feature,Coef,HC3_SE,t_stat,p_value,CI_lower,CI_upper
const,0.389812,0.056488,6.900828,0.0,0.279098,0.500526
sin_month,-0.011585,0.00643,-1.801732,0.071588,-0.024187,0.001017
cos_month,0.006782,0.006196,1.094606,0.273689,-0.005362,0.018925
GHI_anom,0.078697,0.022349,3.52135,0.000429,0.034895,0.1225
CLOUD_anom,-0.000519,0.001052,-0.493717,0.621506,-0.00258,0.001542
PRECTOT_anom,8.4e-05,0.001966,0.042962,0.965732,-0.003768,0.003937
ONI,0.009952,0.017532,0.567655,0.570269,-0.02441,0.044315
ONI_lag2,-0.012885,0.018211,-0.70756,0.479218,-0.048577,0.022807
GHI_lag1,0.02979,0.011654,2.556127,0.010584,0.006948,0.052632
