Model,RMSE,MAE,MAPE_%,R2,SkillScore,JB_p,SW_p,LB1_p,LB12_p,ADF_p_resid,Resid_norm,Resid_AC1,Resid_AC12
OLS-HC3,0.075266,0.05937,11.9407,0.0445,0.0225,0.9525,0.9447,0.275,0.1268,0.0003,Normal,No AC,No SAC
SARIMAX+ONI,0.07361,0.056684,11.2425,0.0861,0.044,0.3914,0.4906,0.3452,0.7352,0.0,Normal,No AC,No SAC
XGBoost,0.06841,0.054093,10.7977,0.2107,0.1116,0.9147,0.8696,0.0885,0.0448,0.0,Normal,No AC,Seasonal AC
Climatology_baseline,0.073005,0.055627,11.1259,0.1011,0.0519,0.2914,0.407,0.2142,0.6675,0.0,Normal,No AC,No SAC
