fold,test_year,n_train,n_test,RMSE,MAE,SkillScore,ClimRMSE,R2_train
1,2015,108,12,0.087684,0.071378,-0.6795,0.052208,0.3026
2,2016,120,12,0.090497,0.079532,-0.0859,0.083337,0.2877
3,2017,132,12,0.061495,0.052248,0.1237,0.070173,0.2831
4,2018,144,12,0.089983,0.068523,0.0517,0.094892,0.2887
5,2019,156,12,0.070775,0.059953,0.0571,0.075059,0.2697
6,2020,168,12,0.044594,0.036427,0.0867,0.048828,0.2823
7,2021,180,12,0.104013,0.086573,-0.0287,0.101107,0.2945
8,2022,192,12,0.050702,0.040686,0.0223,0.051857,0.2783
9,2023,204,12,0.053298,0.039008,0.091,0.058635,0.2902
