fold,test_year,n_train,RMSE_train,RMSE_test,overfit_ratio,MAE,SkillScore,ClimRMSE,PICP_90
1,2015,108,0.05475,0.050755,0.927,0.04237,0.0278,0.052208,0.9167
2,2016,120,0.053809,0.073853,1.373,0.060623,0.1138,0.083337,0.75
3,2017,132,0.054407,0.062758,1.153,0.054456,0.1057,0.070173,0.9167
4,2018,144,0.054583,0.08336,1.527,0.064156,0.1215,0.094892,0.75
5,2019,156,0.055403,0.078253,1.412,0.06507,-0.0426,0.075059,0.8333
6,2020,168,0.056503,0.048198,0.853,0.037007,0.0129,0.048828,0.8333
7,2021,180,0.056049,0.099118,1.768,0.083196,0.0197,0.101107,0.5833
8,2022,192,0.05867,0.055802,0.951,0.045162,-0.0761,0.051857,0.9167
9,2023,204,0.058249,0.042621,0.732,0.034794,0.2731,0.058635,1.0
