fold,test_year,n_train,RMSE,MAE,SkillScore,PICP_95,PIAW,Winkler,converged
1,2015,108,0.056564,0.048826,-0.0834,1.0,0.259701,0.259701,True
2,2016,120,0.07906,0.066353,0.0513,1.0,0.258099,0.258099,True
3,2017,132,0.071084,0.065056,-0.013,1.0,0.263598,0.263598,True
4,2018,144,0.091979,0.064552,0.0307,0.8333,0.262397,0.62857,True
5,2019,156,0.077382,0.057318,-0.031,0.9167,0.271279,0.433928,True
6,2020,168,0.05295,0.04369,-0.0844,1.0,0.272961,0.272961,True
7,2021,180,0.100866,0.080703,0.0024,0.75,0.267819,0.61381,True
8,2022,192,0.053079,0.042042,-0.0236,1.0,0.273532,0.273532,True
9,2023,204,0.063401,0.041617,-0.0813,0.9167,0.270133,0.428955,True
