Variable,Mean,Std,Min,Max
Y_stoch,0.53256,0.07535,0.33244,0.73886
PR_stoch,0.61126,0.05085,0.47031,0.7205
L_thermal,0.00779,0.00277,0.001,0.01932
L_cloud_resid,0.08672,0.02156,0.02929,0.14896
L_aerosol,0.02528,0.01839,0.005,0.14194
L_humidity,0.01539,0.00603,0.001,0.03298
L_inverter,0.12179,0.06784,0.04,0.28
