Feature,OLS_beta,OLS_HC3_SE,OLS_t,OLS_p,OLS_std_effect,mean_SHAP,mean_abs_SHAP,SHAP_CV,sign_concordance,nonlinearity
sin_month,-0.011585,0.00643,-1.802,0.0716,-0.008211,0.000298,0.005642,23.493,False,High
cos_month,0.006782,0.006196,1.095,0.2737,0.004807,-3.4e-05,0.002862,91.742,False,High
GHI_anom,0.078697,0.022349,3.521,0.0004,0.026143,-0.000108,0.011789,126.323,False,High
CLOUD_anom,-0.000519,0.001052,-0.494,0.6215,-0.00311,0.000155,0.004573,36.238,False,High
PRECTOT_anom,8.4e-05,0.001966,0.043,0.9657,0.000266,-8.3e-05,0.000994,15.86,False,High
ONI,0.009952,0.017532,0.568,0.5703,0.00678,8e-05,0.000984,14.304,True,High
ONI_lag2,-0.012885,0.018211,-0.708,0.4792,-0.008563,6.8e-05,0.000799,13.85,False,High
GHI_lag1,0.02979,0.011654,2.556,0.0106,0.011955,-3.9e-05,0.004545,131.381,False,High
