fold,test_year,n_train,RMSE_train,RMSE_test,overfit_ratio,MAE,SkillScore,ClimRMSE,PICP_90
1,2015,108,0.061102,0.056218,0.92,0.047725,-0.0962,0.051284,1.0
2,2016,120,0.059228,0.091531,1.545,0.074067,0.2307,0.118986,0.6667
3,2017,132,0.059512,0.06806,1.144,0.056633,0.0756,0.073626,0.75
4,2018,144,0.058537,0.065998,1.127,0.052997,0.1165,0.074704,0.9167
5,2019,156,0.058851,0.076477,1.299,0.064016,0.0187,0.077937,0.8333
6,2020,168,0.057838,0.070842,1.225,0.058156,-0.1328,0.062536,0.75
7,2021,180,0.057615,0.086348,1.499,0.073805,0.0626,0.09211,0.6667
8,2022,192,0.05905,0.049252,0.834,0.045065,0.3388,0.074488,1.0
9,2023,204,0.05779,0.050286,0.87,0.03784,0.1562,0.059594,0.9167
