Feature,OLS_beta,OLS_HC3_SE,OLS_t,OLS_p,OLS_std_effect,mean_SHAP,mean_abs_SHAP,SHAP_CV,sign_concordance,nonlinearity
sin_month,-0.037579,0.008587,-4.376,0.0,-0.026634,-0.000461,0.011432,28.818,True,High
cos_month,-0.024711,0.008147,-3.033,0.0024,-0.017514,0.000122,0.006491,62.684,False,High
GHI_anom,0.083559,0.037862,2.207,0.0273,0.032888,0.000417,0.007796,25.235,True,High
CLOUD_anom,-0.000102,0.001076,-0.095,0.9246,-0.001226,-0.000325,0.007506,25.971,True,High
PRECTOT_anom,-0.000642,0.002659,-0.241,0.8093,-0.002477,0.000217,0.001472,8.283,False,High
ONI,0.015439,0.024306,0.635,0.5253,0.010519,0.000196,0.001301,8.407,True,High
ONI_lag2,-0.028084,0.02414,-1.163,0.2447,-0.018664,8.7e-05,0.001673,23.661,False,High
GHI_lag1,0.051021,0.01045,4.882,0.0,0.038982,-0.002234,0.018507,9.529,False,High
