Model,RMSE,MAE,MAPE_%,R2,SkillScore,JB_p,SW_p,LB1_p,LB12_p,ADF_p_resid,Resid_norm,Resid_AC1,Resid_AC12
OLS-HC3,0.084476,0.067058,12.2233,0.292,0.1586,0.5341,0.4641,0.8328,0.2278,0.0,Normal,No AC,No SAC
SARIMAX+ONI,0.076817,0.061197,10.8752,0.4146,0.2349,0.4061,0.9474,0.315,0.8322,0.0,Normal,No AC,No SAC
XGBoost,0.069765,0.0567,10.1234,0.5171,0.3051,0.9031,0.4973,0.0148,0.0458,0.0,Normal,AC present,Seasonal AC
Climatology_baseline,0.078428,0.060682,10.8588,0.3898,0.2188,0.4565,0.0241,0.7616,0.8922,0.0,Normal,No AC,No SAC
