fold,test_year,n_train,RMSE,MAE,SkillScore,PICP_95,PIAW,Winkler,converged
1,2015,108,0.070077,0.059729,-0.3665,1.0,0.353893,0.353893,True
2,2016,120,0.106818,0.09527,0.1023,0.8333,0.313192,0.422565,True
3,2017,132,0.071791,0.058959,0.0249,1.0,0.330952,0.330952,True
4,2018,144,0.073424,0.0501,0.0171,0.9167,0.325427,0.386995,True
5,2019,156,0.080404,0.061467,-0.0316,0.9167,0.326763,0.464465,True
6,2020,168,0.062935,0.051795,-0.0064,1.0,0.32258,0.32258,True
7,2021,180,0.08677,0.074422,0.058,0.9167,0.313246,0.326282,True
8,2022,192,0.061497,0.051262,0.1744,1.0,0.314729,0.314729,True
9,2023,204,0.067119,0.047769,-0.1263,0.9167,0.315642,0.391049,True
