Variable,Mean,Std,Min,Max
Y_stoch,0.58533,0.10708,0.32115,0.88217
PR_stoch,0.61061,0.05252,0.46879,0.72624
L_thermal,0.00994,0.00352,0.00123,0.02163
L_cloud_resid,0.07601,0.02801,0.005,0.14644
L_aerosol,0.03742,0.03612,0.005,0.15
L_humidity,0.01294,0.0067,0.001,0.03319
L_inverter,0.12179,0.06784,0.04,0.28
