fold,test_year,n_train,n_test,RMSE,MAE,SkillScore,ClimRMSE,R2_train
1,2015,108,12,0.087336,0.073021,-0.703,0.051284,0.5854
2,2016,120,12,0.128436,0.115843,-0.0794,0.118986,0.5749
3,2017,132,12,0.086559,0.072996,-0.1757,0.073626,0.5243
4,2018,144,12,0.083803,0.066582,-0.1218,0.074704,0.5104
5,2019,156,12,0.082559,0.063705,-0.0593,0.077937,0.5065
6,2020,168,12,0.071671,0.056397,-0.1461,0.062536,0.5126
7,2021,180,12,0.090226,0.07379,0.0205,0.09211,0.5185
8,2022,192,12,0.059603,0.047789,0.1998,0.074488,0.5021
9,2023,204,12,0.04405,0.033397,0.2608,0.059594,0.5112
