fold,test_year,n_train,RMSE_train,RMSE_test,overfit_ratio,MAE,SkillScore,ClimRMSE,PICP_90
1,2015,108,0.021802,0.07365,3.378,0.057528,0.2266,0.095225,0.4167
2,2016,120,0.021,0.093942,4.473,0.074115,-0.0813,0.086879,0.4167
3,2017,132,0.023285,0.068503,2.942,0.059329,0.1039,0.07645,0.4167
4,2018,144,0.024044,0.053227,2.214,0.041244,0.1828,0.065137,0.6667
5,2019,156,0.022882,0.071887,3.142,0.060286,0.0944,0.079384,0.5833
6,2020,168,0.024664,0.050825,2.061,0.038549,0.2107,0.064391,0.75
7,2021,180,0.024574,0.08431,3.431,0.06954,-0.1213,0.07519,0.5833
8,2022,192,0.025422,0.045263,1.78,0.04121,-0.3952,0.032443,0.8333
9,2023,204,0.025826,0.052773,2.043,0.037483,-0.1363,0.046445,0.75
