Model,RMSE,MAE,MAPE_%,R2,SkillScore,JB_p,SW_p,LB1_p,LB12_p,ADF_p_resid,Resid_norm,Resid_AC1,Resid_AC12
OLS-HC3,0.065174,0.051706,10.7945,0.1394,0.0723,0.9645,0.8303,0.0831,0.0329,0.0,Normal,No AC,Seasonal AC
SARIMAX+ONI,0.074163,0.057236,12.0744,-0.1144,-0.0556,0.1651,0.4102,0.7784,0.484,0.0,Normal,No AC,No SAC
XGBoost,0.067879,0.053254,11.0765,0.0665,0.0338,0.8629,0.9204,0.359,0.2804,0.0,Normal,No AC,No SAC
Climatology_baseline,0.071503,0.056294,11.6898,-0.0359,-0.0178,0.9909,0.7354,0.6723,0.6028,0.0,Normal,No AC,No SAC
