fold,test_year,n_train,RMSE,MAE,SkillScore,PICP_95,PIAW,Winkler,converged
1,2015,108,0.109361,0.084248,-0.1485,0.8333,0.26835,0.846928,True
2,2016,120,0.074033,0.058201,0.1479,0.9167,0.279267,0.400034,True
3,2017,132,0.073302,0.057437,0.0412,1.0,0.28036,0.28036,True
4,2018,144,0.064931,0.04909,0.0032,0.9167,0.285217,0.359283,True
5,2019,156,0.088166,0.070899,-0.1106,0.9167,0.281441,0.495187,True
6,2020,168,0.068457,0.054667,-0.0632,1.0,0.288381,0.288381,True
7,2021,180,0.072992,0.059787,0.0292,0.9167,0.287234,0.299151,True
8,2022,192,0.047086,0.041832,-0.4514,1.0,0.286985,0.286985,True
9,2023,204,0.049668,0.038965,-0.0694,1.0,0.281944,0.281944,True
