Feature,OLS_beta,OLS_HC3_SE,OLS_t,OLS_p,OLS_std_effect,mean_SHAP,mean_abs_SHAP,SHAP_CV,sign_concordance,nonlinearity
sin_month,0.003401,0.006028,0.564,0.5726,0.00241,-6.1e-05,0.003991,73.874,False,High
cos_month,-0.024632,0.005695,-4.325,0.0,-0.017458,-3.6e-05,0.008619,282.896,True,High
GHI_anom,0.111665,0.014235,7.844,0.0,0.033186,0.000278,0.021624,89.516,True,High
CLOUD_anom,-0.0013,0.000846,-1.537,0.1242,-0.006579,7.7e-05,0.008776,135.525,False,High
PRECTOT_anom,0.002155,0.001636,1.317,0.1878,0.006018,-4.7e-05,0.008255,232.216,False,High
ONI,0.012812,0.015637,0.819,0.4126,0.008729,0.000199,0.003486,21.506,True,High
ONI_lag2,-0.01557,0.015771,-0.987,0.3235,-0.010347,-1.1e-05,0.004775,593.269,True,High
GHI_lag1,0.002499,0.013494,0.185,0.8531,0.000876,0.000163,0.005132,36.09,True,High
