fold,test_year,n_train,n_test,RMSE,MAE,SkillScore,ClimRMSE,R2_train
1,2015,108,12,0.060362,0.052296,0.3661,0.095225,0.4068
2,2016,120,12,0.080351,0.066299,0.0751,0.086879,0.4546
3,2017,132,12,0.058172,0.04854,0.2391,0.07645,0.4261
4,2018,144,12,0.066189,0.05351,-0.0162,0.065137,0.4281
5,2019,156,12,0.072714,0.06054,0.084,0.079384,0.4062
6,2020,168,12,0.045296,0.035939,0.2965,0.064391,0.3974
7,2021,180,12,0.093868,0.077785,-0.2484,0.07519,0.4083
8,2022,192,12,0.046704,0.041394,-0.4396,0.032443,0.3496
9,2023,204,12,0.045085,0.029047,0.0293,0.046445,0.3391
