Feature,VIF
T2M_x_RH,947.232
GHI_x_CLOUD,876.628
GHI_lag1,275.107
GHI_lag12,242.164
ONI_lag2,9.039
ONI,9.036
GHI_anom,4.484
CLOUD_anom,3.78
cos_month,2.171
PRECTOT_anom,1.19
ONI_x_CLOUD_anom,1.135
sin_month,1.094
