Variable,Mean,Std,Min,Max
Y_stoch,0.51499,0.07333,0.29167,0.68486
PR_stoch,0.6075,0.04984,0.46998,0.71588
L_thermal,0.00438,0.00216,0.001,0.01294
L_cloud_resid,0.08943,0.01991,0.03927,0.14938
L_aerosol,0.02481,0.01658,0.005,0.09222
L_humidity,0.02234,0.00591,0.00779,0.03956
L_inverter,0.12179,0.06784,0.04,0.28
