Feature,Coef,HC3_SE,t_stat,p_value,CI_lower,CI_upper
const,0.504334,0.064174,7.858807,0.0,0.378555,0.630114
sin_month,0.003401,0.006028,0.564247,0.572586,-0.008413,0.015216
cos_month,-0.024632,0.005695,-4.325472,1.5e-05,-0.035793,-0.013471
GHI_anom,0.111665,0.014235,7.844188,0.0,0.083764,0.139566
CLOUD_anom,-0.0013,0.000846,-1.537204,0.124243,-0.002958,0.000358
PRECTOT_anom,0.002155,0.001636,1.31725,0.187755,-0.001052,0.005362
ONI,0.012812,0.015637,0.819332,0.412597,-0.017836,0.043461
ONI_lag2,-0.01557,0.015771,-0.987258,0.323516,-0.046481,0.015341
GHI_lag1,0.002499,0.013494,0.185183,0.853086,-0.023949,0.028947
