Feature,VIF
GHI_x_CLOUD,1571.412
T2M_x_RH,1148.19
GHI_lag1,199.948
GHI_lag12,189.48
CLOUD_anom,16.01
cos_month,9.969
ONI,9.915
ONI_lag2,9.587
GHI_anom,8.934
sin_month,5.636
PRECTOT_anom,1.889
ONI_x_CLOUD_anom,1.618
