Feature,Coef,HC3_SE,t_stat,p_value,CI_lower,CI_upper
const,0.368436,0.061833,5.958518,0.0,0.247245,0.489627
sin_month,0.000114,0.006442,0.017669,0.985903,-0.012513,0.01274
cos_month,0.001634,0.005876,0.278117,0.780923,-0.009882,0.01315
GHI_anom,0.106708,0.021151,5.044997,0.0,0.065252,0.148164
CLOUD_anom,-0.001066,0.001003,-1.06344,0.287582,-0.003032,0.000899
PRECTOT_anom,0.003131,0.001729,1.810541,0.070212,-0.000258,0.006519
ONI,0.013432,0.018245,0.736204,0.461607,-0.022327,0.04919
ONI_lag2,-0.022349,0.018481,-1.209274,0.226557,-0.058571,0.013874
GHI_lag1,0.031515,0.013139,2.398603,0.016458,0.005763,0.057266
