fold,test_year,n_train,RMSE_train,RMSE_test,overfit_ratio,MAE,SkillScore,ClimRMSE,PICP_90
1,2015,108,0.056442,0.04369,0.774,0.035446,0.1822,0.053421,1.0
2,2016,120,0.055742,0.083437,1.497,0.072347,0.0806,0.090754,0.75
3,2017,132,0.056627,0.067703,1.196,0.05623,0.1316,0.07796,0.9167
4,2018,144,0.056832,0.068602,1.207,0.058032,0.0228,0.070205,0.8333
5,2019,156,0.056814,0.079656,1.402,0.058686,0.0609,0.084824,0.75
6,2020,168,0.057812,0.064723,1.12,0.05048,0.0694,0.069551,0.8333
7,2021,180,0.057365,0.084096,1.466,0.070823,0.0175,0.085591,0.6667
8,2022,192,0.058737,0.046452,0.791,0.038696,0.1261,0.053155,1.0
9,2023,204,0.058124,0.047466,0.817,0.040826,0.1701,0.057198,1.0
