Feature,OLS_beta,OLS_HC3_SE,OLS_t,OLS_p,OLS_std_effect,mean_SHAP,mean_abs_SHAP,SHAP_CV,sign_concordance,nonlinearity
sin_month,0.000114,0.006442,0.018,0.9859,8.1e-05,-1e-05,0.001606,210.814,False,High
cos_month,0.001634,0.005876,0.278,0.7809,0.001158,0.000119,0.002985,33.344,True,High
GHI_anom,0.106708,0.021151,5.045,0.0,0.033916,0.000319,0.013217,52.277,True,High
CLOUD_anom,-0.001066,0.001003,-1.063,0.2876,-0.008,-0.000511,0.006468,14.579,True,High
PRECTOT_anom,0.003131,0.001729,1.811,0.0702,0.011027,-0.000309,0.002875,11.896,False,High
ONI,0.013432,0.018245,0.736,0.4616,0.009151,-4e-06,0.000277,93.8,False,High
ONI_lag2,-0.022349,0.018481,-1.209,0.2266,-0.014852,-7.4e-05,0.000946,16.33,True,High
GHI_lag1,0.031515,0.013139,2.399,0.0165,0.011935,6e-06,0.003903,658.708,True,High
