fold,test_year,n_train,n_test,RMSE,MAE,SkillScore,ClimRMSE,R2_train
1,2015,108,12,0.101858,0.081441,-0.9067,0.053421,0.369
2,2016,120,12,0.09366,0.081115,-0.032,0.090754,0.3216
3,2017,132,12,0.065822,0.054529,0.1557,0.07796,0.31
4,2018,144,12,0.069526,0.056546,0.0097,0.070205,0.315
5,2019,156,12,0.073287,0.055912,0.136,0.084824,0.3004
6,2020,168,12,0.059229,0.048078,0.1484,0.069551,0.3018
7,2021,180,12,0.088247,0.07752,-0.031,0.085591,0.321
8,2022,192,12,0.048715,0.038581,0.0835,0.053155,0.299
9,2023,204,12,0.039744,0.034129,0.3051,0.057198,0.3041
