Model,RMSE,MAE,MAPE_%,R2,SkillScore,JB_p,SW_p,LB1_p,LB12_p,ADF_p_resid,Resid_norm,Resid_AC1,Resid_AC12
OLS-HC3,0.073736,0.05865,12.2748,-0.0419,-0.0207,0.822,0.9164,0.6373,0.2875,0.0,Normal,No AC,No SAC
SARIMAX+ONI,0.071394,0.058112,11.9118,0.0233,0.0117,0.5704,0.8156,0.3837,0.746,0.0,Normal,No AC,No SAC
XGBoost,0.066815,0.053507,11.0735,0.1445,0.0751,0.8047,0.5356,0.0627,0.2853,0.0,Normal,No AC,No SAC
Climatology_baseline,0.072688,0.057319,11.8166,-0.0125,-0.0062,0.9264,0.9314,0.4895,0.7764,0.0,Normal,No AC,No SAC
