fold,test_year,n_train,RMSE,MAE,SkillScore,PICP_95,PIAW,Winkler,converged
1,2015,108,0.06468,0.056758,-0.2108,1.0,0.281409,0.281409,True
2,2016,120,0.082422,0.073545,0.0918,1.0,0.277637,0.277637,True
3,2017,132,0.071683,0.055658,0.0805,0.9167,0.280279,0.400019,True
4,2018,144,0.070136,0.056833,0.001,0.9167,0.280068,0.345573,True
5,2019,156,0.086772,0.066915,-0.023,0.75,0.278946,0.433074,True
6,2020,168,0.072566,0.059927,-0.0434,1.0,0.284026,0.284026,True
7,2021,180,0.08239,0.065559,0.0374,0.8333,0.281699,0.374313,True
8,2022,192,0.04886,0.040319,0.0808,1.0,0.285213,0.285213,True
9,2023,204,0.053557,0.047491,0.0636,1.0,0.2927,0.2927,True
