Variable,Mean,Std,Min,Max
Y_stoch,0.51554,0.07495,0.31719,0.7335
PR_stoch,0.60883,0.05133,0.46861,0.71908
L_thermal,0.0101,0.00272,0.00306,0.01964
L_cloud_resid,0.0859,0.022,0.02983,0.14996
L_aerosol,0.02785,0.02368,0.005,0.15
L_humidity,0.01525,0.00588,0.00207,0.03202
L_inverter,0.12179,0.06784,0.04,0.28
