fold,test_year,n_train,n_test,RMSE,MAE,SkillScore,ClimRMSE,R2_train
1,2015,108,12,0.061171,0.049804,0.1981,0.076283,0.4915
2,2016,120,12,0.083766,0.069483,0.0523,0.088385,0.4886
3,2017,132,12,0.062039,0.050023,0.2128,0.078815,0.4655
4,2018,144,12,0.07127,0.058663,-0.1074,0.064358,0.4673
5,2019,156,12,0.076981,0.062329,-0.1359,0.06777,0.4406
6,2020,168,12,0.046808,0.037943,0.1347,0.054093,0.4222
7,2021,180,12,0.087263,0.072861,-0.0785,0.080913,0.4305
8,2022,192,12,0.043342,0.036,0.1441,0.050638,0.3905
9,2023,204,12,0.042052,0.030883,0.184,0.051535,0.4038
