fold,test_year,n_train,RMSE,MAE,SkillScore,PICP_95,PIAW,Winkler,converged
1,2015,108,0.08851,0.068647,-0.1603,0.9167,0.285325,0.452789,True
2,2016,120,0.084216,0.063701,0.0472,0.8333,0.286289,0.428929,True
3,2017,132,0.084148,0.07069,-0.0677,0.9167,0.290147,0.348764,True
4,2018,144,0.069289,0.054165,-0.0766,1.0,0.293745,0.293745,True
5,2019,156,0.086681,0.06582,-0.279,0.8333,0.292512,0.527962,True
6,2020,168,0.064457,0.046653,-0.1916,1.0,0.296387,0.296387,True
7,2021,180,0.079887,0.062804,0.0127,0.9167,0.292528,0.376314,True
8,2022,192,0.069776,0.05945,-0.3779,1.0,0.29353,0.29353,True
9,2023,204,0.062309,0.050158,-0.2091,1.0,0.292355,0.292355,True
