fold,test_year,n_train,RMSE_train,RMSE_test,overfit_ratio,MAE,SkillScore,ClimRMSE,PICP_90
1,2015,108,0.021401,0.070291,3.284,0.059688,0.0786,0.076283,0.4167
2,2016,120,0.022734,0.075143,3.305,0.064647,0.1498,0.088385,0.5
3,2017,132,0.024372,0.063573,2.608,0.051663,0.1934,0.078815,0.5833
4,2018,144,0.024842,0.073696,2.967,0.057104,-0.1451,0.064358,0.6667
5,2019,156,0.025357,0.091634,3.614,0.068829,-0.3521,0.06777,0.6667
6,2020,168,0.027345,0.056185,2.055,0.042527,-0.0387,0.054093,0.8333
7,2021,180,0.028104,0.080639,2.869,0.072196,0.0034,0.080913,0.5
8,2022,192,0.029687,0.043143,1.453,0.036624,0.148,0.050638,0.75
9,2023,204,0.029477,0.04316,1.464,0.032979,0.1625,0.051535,0.8333
